country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Slovakia,1995,female,15-24 years,9,443602,Slovakia1995,0.75,"25,733,043,137",5141,Generation X
Kuwait,2010,female,55-74 years,0,72487,Kuwait2010,0.809,"115,419,050,942",35171,Silent
Antigua and Barbuda,1993,female,15-24 years,0,6182,Antigua and Barbuda1993,,"535,172,778",8453,Generation X
France,1995,female,5-14 years,6,3582500,France1995,0.825,"1,601,094,756,210",29363,Millenials
Sweden,2015,male,5-14 years,3,556118,Sweden2015,,"497,918,109,302",54629,Generation Z
Seychelles,1987,female,75+ years,0,1200,Seychelles1987,,"249,267,040",4276,G.I. Generation
Belize,1991,male,5-14 years,0,27200,Belize1991,,"444,720,750",2742,Millenials
Puerto Rico,2000,male,25-34 years,43,258901,Puerto Rico2000,,"61,701,800,000",17569,Generation X
Croatia,2012,male,15-24 years,35,256849,Croatia2012,0.817,"56,565,475,275",13952,Millenials
Guatemala,1988,female,35-54 years,6,644602,Guatemala1988,,"7,841,602,824",1074,Silent
Singapore,2012,male,25-34 years,22,263800,Singapore2012,0.905,"290,673,681,684",80040,Millenials
Aruba,1995,female,35-54 years,0,12391,Aruba1995,,"1,320,670,391",17949,Boomers
Barbados,2000,female,15-24 years,0,19594,Barbados2000,0.753,"3,121,500,000",12430,Generation X
Saint Vincent and Grenadines,2012,male,25-34 years,2,8898,Saint Vincent and Grenadines2012,0.715,"692,933,741",6918,Millenials
Japan,2007,female,55-74 years,3108,17338000,Japan2007,,"4,515,264,514,431",37408,Silent
Japan,2005,female,15-24 years,643,6672938,Japan2005,0.874,"4,755,410,630,912",39412,Millenials
France,2006,female,5-14 years,8,3665776,France2006,,"2,318,593,651,988",40097,Millenials
Norway,2004,male,15-24 years,58,285070,Norway2004,,"264,357,494,659",61450,Millenials
Bahrain,1999,male,5-14 years,0,61554,Bahrain1999,,"6,621,010,372",11703,Millenials
Portugal,1985,male,35-54 years,185,1103803,Portugal1985,0.676,"27,118,476,174",2912,Silent
Kiribati,1996,female,35-54 years,1,7304,Kiribati1996,,"66,515,377",991,Boomers
United Kingdom,2012,male,35-54 years,1587,8673006,United Kingdom2012,0.901,"2,662,085,168,499",44585,Generation X
Panama,1988,female,25-34 years,1,182061,Panama1988,,"5,902,783,400",2859,Boomers
Mauritius,2010,female,35-54 years,8,184083,Mauritius2010,0.756,"10,003,670,690",8587,Generation X
Antigua and Barbuda,2003,female,5-14 years,0,8423,Antigua and Barbuda2003,,"855,643,111",10878,Millenials
Iceland,2016,male,15-24 years,6,24099,Iceland2016,,"20,304,098,101",64708,Millenials
Kyrgyzstan,1996,male,15-24 years,71,427600,Kyrgyzstan1996,,"1,827,570,586",459,Generation X
Cyprus,2005,female,15-24 years,1,57341,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
Germany,1997,female,35-54 years,931,11111600,Germany1997,,"2,218,689,375,141",28420,Boomers
Cyprus,2000,female,15-24 years,0,75880,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
Singapore,2006,male,15-24 years,15,240400,Singapore2006,,"147,797,218,201",43318,Millenials
Latvia,2013,female,15-24 years,2,113955,Latvia2013,0.816,"30,254,677,297",15820,Millenials
Uruguay,1989,female,25-34 years,13,209200,Uruguay1989,,"8,438,951,476",2992,Boomers
Romania,1989,female,5-14 years,6,1817900,Romania1989,,"42,105,263,158",1973,Generation X
Malta,1989,male,5-14 years,0,29000,Malta1989,,"2,118,574,772",6539,Generation X
Bahamas,2013,female,35-54 years,1,54567,Bahamas2013,0.786,"10,627,600,000",30455,Generation X
Barbados,1989,male,15-24 years,3,25000,Barbados1989,,"2,015,731,029",8541,Generation X
Fiji,2007,male,15-24 years,3,80074,Fiji2007,,"3,405,050,612",4570,Millenials
Singapore,2000,female,5-14 years,1,238100,Singapore2000,0.819,"95,833,932,715",31446,Millenials
Israel,1991,female,35-54 years,27,538000,Israel1991,,"67,530,220,219",15267,Boomers
Costa Rica,1990,male,75+ years,5,19000,Costa Rica1990,0.652,"7,403,457,319",2817,G.I. Generation
Belarus,1994,female,15-24 years,36,719700,Belarus1994,,"14,932,024,169",1547,Generation X
Maldives,2008,male,35-54 years,0,36569,Maldives2008,,"2,271,646,188",7236,Boomers
Germany,2012,male,35-54 years,2408,12515919,Germany2012,0.915,"3,543,983,909,148",45142,Generation X
Portugal,2011,male,15-24 years,15,580769,Portugal2011,0.825,"244,895,101,712",24337,Millenials
Lithuania,1995,female,55-74 years,101,408926,Lithuania1995,0.701,"7,870,782,261",2324,Silent
France,1985,male,15-24 years,740,4349200,France1985,0.741,"553,138,414,367",10765,Generation X
Azerbaijan,1999,male,15-24 years,6,706900,Azerbaijan1999,,"4,581,222,442",645,Generation X
Kazakhstan,2005,female,55-74 years,100,1021709,Kazakhstan2005,0.746,"57,123,671,734",4096,Silent
Iceland,1999,male,25-34 years,4,20700,Iceland1999,,"8,917,286,036",34858,Generation X
Belize,1995,female,35-54 years,0,13500,Belize1995,0.664,"620,140,400",3436,Boomers
Ireland,2000,male,5-14 years,1,287937,Ireland2000,0.861,"99,853,528,653",28340,Millenials
Austria,2014,male,75+ years,206,269625,Austria2014,0.885,"441,885,415,806",54278,Silent
Panama,2010,female,25-34 years,0,285498,Panama2010,0.761,"29,440,287,600",8991,Generation X
Barbados,2007,female,15-24 years,0,19237,Barbados2007,,"4,523,750,000",17528,Millenials
United States,1993,female,75+ years,519,9090400,United States1993,,"6,878,718,000,000",28891,G.I. Generation
Uzbekistan,2011,male,35-54 years,457,3204569,Uzbekistan2011,0.661,"45,915,191,189",1767,Generation X
Australia,2003,female,25-34 years,106,1444160,Australia2003,,"466,294,700,058",25059,Generation X
United States,1992,female,75+ years,549,8898100,United States1992,,"6,539,299,000,000",27760,G.I. Generation
Uzbekistan,1999,male,15-24 years,328,2406752,Uzbekistan1999,,"17,078,465,982",801,Generation X
Thailand,2013,female,5-14 years,6,3984166,Thailand2013,0.724,"420,333,333,333",6917,Generation Z
Trinidad and Tobago,2003,female,25-34 years,5,96104,Trinidad and Tobago2003,,"11,305,459,802",9465,Generation X
Paraguay,2011,male,5-14 years,7,685194,Paraguay2011,0.671,"25,099,681,461",4474,Generation Z
Slovakia,1998,female,5-14 years,0,395500,Slovakia1998,,"29,828,899,206",5871,Millenials
Albania,1999,female,55-74 years,6,188800,Albania1999,,"3,414,760,915",1127,Silent
Hungary,2011,male,35-54 years,751,1370341,Hungary2011,0.823,"140,782,064,609",14827,Generation X
Ecuador,2012,male,35-54 years,162,1715827,Ecuador2012,0.727,"87,924,544,000",6364,Generation X
Romania,2013,male,75+ years,158,561583,Romania2013,0.791,"191,549,024,911",10080,Silent
Qatar,2014,female,55-74 years,1,22469,Qatar2014,0.85,"206,224,725,275",91587,Boomers
Kazakhstan,1993,female,5-14 years,20,1726000,Kazakhstan1993,,"23,409,027,476",1527,Millenials
Bahrain,1988,male,5-14 years,0,46500,Bahrain1988,,"3,702,393,617",9501,Generation X
Paraguay,1998,male,15-24 years,25,502306,Paraguay1998,,"9,024,567,484",2057,Generation X
New Zealand,1986,female,55-74 years,27,259200,New Zealand1986,,"30,604,668,357",10114,G.I. Generation
Suriname,1989,female,35-54 years,3,35415,Suriname1989,,"542,520,000",1560,Silent
South Africa,2015,male,75+ years,8,285743,South Africa2015,,"317,741,039,198",6403,Silent
Norway,1995,female,55-74 years,33,389500,Norway1995,0.883,"152,027,402,450",37483,Silent
Russian Federation,2013,male,75+ years,1549,2349484,Russian Federation2013,,"2,297,128,039,058",17052,Silent
Luxembourg,1990,female,15-24 years,0,24700,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
Slovakia,2010,male,15-24 years,42,395147,Slovakia2010,0.827,"89,501,012,916",17387,Millenials
Guyana,2013,male,15-24 years,34,77905,Guyana2013,0.634,"2,990,006,534",4372,Millenials
Canada,2004,female,25-34 years,114,2169563,Canada2004,,"1,023,196,003,075",33787,Generation X
Greece,2012,male,25-34 years,46,790487,Greece2012,0.865,"245,670,666,639",23309,Millenials
Paraguay,2008,male,75+ years,7,51965,Paraguay2008,,"18,504,130,753",3438,Silent
Israel,2001,female,75+ years,17,167410,Israel2001,,"130,706,147,871",22623,Silent
Belgium,1993,female,25-34 years,74,779500,Belgium1993,,"225,924,679,921",23875,Boomers
Grenada,1993,female,35-54 years,0,7675,Grenada1993,,"309,812,185",3632,Boomers
Czech Republic,1990,male,55-74 years,385,800800,Czech Republic1990,0.761,"40,477,403,220",4168,G.I. Generation
Jamaica,1988,female,5-14 years,0,270202,Jamaica1988,,"3,828,310,735",1831,Generation X
Puerto Rico,2005,female,25-34 years,6,271874,Puerto Rico2005,,"83,914,521,300",23944,Generation X
Netherlands,2012,female,25-34 years,58,1008927,Netherlands2012,0.92,"828,946,812,397",52334,Millenials
Barbados,2013,male,75+ years,0,6499,Barbados2013,0.785,"4,612,500,000",17395,Silent
Estonia,2011,male,15-24 years,19,87167,Estonia2011,0.849,"23,170,239,901",18545,Millenials
Azerbaijan,1991,male,15-24 years,22,687100,Azerbaijan1991,,"8,792,365,811",1398,Generation X
Belgium,1988,female,5-14 years,1,595000,Belgium1988,,"163,167,853,538",17509,Generation X
Colombia,2010,female,5-14 years,39,4010759,Colombia2010,0.706,"287,018,184,638",6836,Generation Z
Poland,2002,female,25-34 years,68,2648168,Poland2002,,"198,680,637,255",5466,Generation X
Sweden,1996,male,55-74 years,225,793800,Sweden1996,,"288,103,936,773",34819,Silent
Belize,2009,female,75+ years,0,2251,Belize2009,,"1,336,957,250",4841,Silent
Costa Rica,1997,female,55-74 years,1,171045,Costa Rica1997,,"12,552,071,367",3827,Silent
Saint Lucia,1994,male,75+ years,0,2039,Saint Lucia1994,,"600,005,564",4704,G.I. Generation
Costa Rica,2004,female,15-24 years,12,386068,Costa Rica2004,,"18,529,767,934",4850,Millenials
Saint Vincent and Grenadines,2008,male,15-24 years,0,10344,Saint Vincent and Grenadines2008,,"695,428,852",6966,Millenials
Austria,2006,female,35-54 years,91,1265873,Austria2006,,"335,998,557,270",42698,Boomers
Republic of Korea,2007,male,25-34 years,997,4158963,Republic of Korea2007,,"1,122,679,154,632",23982,Generation X
Romania,2016,female,15-24 years,14,1041307,Romania2016,,"187,805,922,349",10020,Millenials
Seychelles,2005,male,25-34 years,0,8151,Seychelles2005,0.736,"919,103,255",11361,Generation X
Colombia,2001,female,15-24 years,302,3976430,Colombia2001,,"98,203,546,156",2662,Millenials
Bulgaria,2003,female,5-14 years,6,386539,Bulgaria2003,,"20,982,685,981",2800,Millenials
Serbia,2011,male,25-34 years,77,501889,Serbia2011,0.761,"46,466,728,667",6734,Millenials
Romania,2013,male,15-24 years,134,1198610,Romania2013,0.791,"191,549,024,911",10080,Millenials
France,2011,female,5-14 years,13,3786009,France2011,0.884,"2,861,408,170,265",48217,Generation Z
Luxembourg,1987,female,55-74 years,12,39000,Luxembourg1987,,"8,614,215,559",24654,G.I. Generation
Uzbekistan,1996,female,5-14 years,10,3000100,Uzbekistan1996,,"13,948,892,216",703,Millenials
Costa Rica,1988,female,55-74 years,0,107000,Costa Rica1988,,"6,063,759,371",2460,G.I. Generation
Ireland,1993,female,35-54 years,28,421100,Ireland1993,,"52,480,253,169",15872,Boomers
Turkmenistan,2001,female,5-14 years,3,567589,Turkmenistan2001,,"3,534,803,922",863,Millenials
United States,2013,male,15-24 years,3903,22735631,United States2013,0.913,"16,691,517,000,000",56520,Millenials
Japan,1996,female,75+ years,1614,4812000,Japan1996,,"4,833,712,542,207",40693,G.I. Generation
Guyana,1994,male,5-14 years,0,88014,Guyana1994,,"540,874,934",819,Millenials
Singapore,2008,male,75+ years,28,47500,Singapore2008,,"192,225,881,688",55735,Silent
Barbados,2005,male,75+ years,0,5683,Barbados2005,0.765,"3,897,300,000",15230,Silent
Singapore,1994,male,35-54 years,69,439100,Singapore1994,,"73,777,792,327",27202,Boomers
New Zealand,1991,female,75+ years,1,98700,New Zealand1991,,"42,756,020,707",13345,G.I. Generation
Greece,2007,male,5-14 years,1,545096,Greece2007,,"318,497,936,901",29896,Generation Z
South Africa,1999,female,35-54 years,19,4689648,South Africa1999,,"136,631,966,609",3424,Boomers
Azerbaijan,1990,male,5-14 years,1,750400,Azerbaijan1990,,"8,858,006,036",1439,Generation X
Belarus,2001,female,5-14 years,2,647427,Belarus2001,,"12,354,820,144",1299,Millenials
Japan,1996,male,35-54 years,5725,17896000,Japan1996,,"4,833,712,542,207",40693,Boomers
Bahrain,2006,male,55-74 years,1,29960,Bahrain2006,,"18,505,053,191",20826,Silent
Costa Rica,1992,female,35-54 years,4,300600,Costa Rica1992,,"8,528,593,084",3070,Boomers
Saint Vincent and Grenadines,2014,male,35-54 years,0,14629,Saint Vincent and Grenadines2014,0.72,"725,185,185",7203,Generation X
Serbia,2002,female,75+ years,96,250502,Serbia2002,,"16,116,843,146",2258,Silent
Republic of Korea,1989,female,55-74 years,136,2301300,Republic of Korea1989,,"243,526,047,717",6217,G.I. Generation
Slovenia,2007,female,35-54 years,32,300437,Slovenia2007,,"48,114,688,201",24964,Boomers
Turkey,2009,female,55-74 years,38,4301203,Turkey2009,,"644,639,902,581",9773,Silent
Chile,1994,male,15-24 years,135,1235400,Chile1994,,"57,008,425,296",4551,Generation X
Spain,2001,male,35-54 years,702,5607814,Spain2001,,"625,975,838,926",16169,Boomers
Denmark,2013,female,25-34 years,16,322819,Denmark2013,0.923,"343,584,385,594",64831,Millenials
Mauritius,2010,female,25-34 years,9,102078,Mauritius2010,0.756,"10,003,670,690",8587,Generation X
Germany,2000,male,55-74 years,2528,8760853,Germany2000,0.855,"1,949,953,934,034",24922,Silent
Panama,1999,female,75+ years,1,33654,Panama1999,,"12,130,252,200",4606,G.I. Generation
Maldives,2008,male,5-14 years,0,32676,Maldives2008,,"2,271,646,188",7236,Generation Z
Cabo Verde,2011,male,55-74 years,1,14827,Cabo Verde2011,,"1,864,824,081",4124,Boomers
Uruguay,2009,male,55-74 years,99,253331,Uruguay2009,,"31,660,911,277",10166,Silent
Chile,1997,male,15-24 years,147,1255098,Chile1997,,"84,952,360,922",6368,Generation X
United States,2001,male,75+ years,2549,6285825,United States2001,,"10,621,824,000,000",40018,Silent
Germany,1996,male,5-14 years,36,4720200,Germany1996,,"2,503,665,193,657",32147,Millenials
Panama,2015,male,75+ years,8,56048,Panama2015,,"54,315,722,500",15158,Silent
Russian Federation,2000,male,5-14 years,404,9986252,Russian Federation2000,,"259,708,496,267",1879,Millenials
Brazil,1989,female,5-14 years,35,17011362,Brazil1989,,"425,595,310,000",3310,Generation X
Sweden,2008,male,55-74 years,263,1012224,Sweden2008,,"513,965,650,650",59155,Silent
Cyprus,2010,female,15-24 years,3,64577,Cyprus2010,0.848,"25,562,251,656",32477,Millenials
United States,2001,female,35-54 years,2893,42567863,United States2001,,"10,621,824,000,000",40018,Boomers
Ukraine,2001,female,15-24 years,147,3645803,Ukraine2001,,"38,009,344,577",812,Millenials
Thailand,2004,male,75+ years,93,719132,Thailand2004,,"172,895,476,153",2849,Silent
Hungary,1993,male,55-74 years,736,885398,Hungary1993,,"40,119,073,326",4116,Silent
Hungary,2010,female,35-54 years,170,1386313,Hungary2010,0.821,"130,922,638,689",13761,Generation X
New Zealand,1992,male,75+ years,15,60000,New Zealand1992,,"41,636,005,955",12868,G.I. Generation
Jamaica,1987,female,55-74 years,0,116815,Jamaica1987,,"3,286,987,552",1587,G.I. Generation
Colombia,2014,female,35-54 years,82,6467724,Colombia2014,0.72,"378,195,716,714",8591,Generation X
Australia,1997,female,55-74 years,96,1465721,Australia1997,,"434,568,007,513",25234,Silent
Kiribati,1993,female,55-74 years,0,2840,Kiribati1993,,"46,919,625",735,Silent
Barbados,1991,female,5-14 years,0,20000,Barbados1991,,"2,007,109,829",8469,Millenials
Mauritius,1997,female,55-74 years,3,59300,Mauritius1997,,"4,187,367,602",4139,Silent
Ukraine,2012,female,75+ years,347,2131156,Ukraine2012,0.743,"175,781,379,051",4096,Silent
Norway,1990,male,5-14 years,4,268100,Norway1990,0.849,"119,791,683,308",30240,Generation X
Armenia,1990,female,75+ years,1,48900,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Chile,2008,female,35-54 years,135,2300364,Chile2008,,"179,638,496,279",11653,Boomers
Hungary,2002,male,35-54 years,997,1382754,Hungary2002,,"67,716,887,203",6995,Boomers
Thailand,2014,female,5-14 years,14,3940160,Thailand2014,0.726,"407,339,361,696",6662,Generation Z
Netherlands,2016,female,25-34 years,65,1043372,Netherlands2016,,"777,227,541,581",48108,Millenials
Lithuania,2015,female,35-54 years,46,419841,Lithuania2015,,"41,508,609,233",15073,Generation X
Israel,2013,female,75+ years,12,230693,Israel2013,0.893,"292,489,185,194",40477,Silent
Australia,2008,male,25-34 years,354,1512033,Australia2008,,"1,052,584,601,611",52315,Generation X
Chile,1987,female,55-74 years,23,674400,Chile1987,,"22,255,407,685",1985,G.I. Generation
Spain,2009,male,75+ years,517,1514292,Spain2009,,"1,499,099,749,931",34470,Silent
Hungary,1996,female,75+ years,224,355446,Hungary1996,,"46,659,796,773",4792,G.I. Generation
Argentina,1990,male,5-14 years,22,3269000,Argentina1990,0.705,"141,352,368,715",4859,Generation X
Netherlands,1996,female,25-34 years,89,1277700,Netherlands1996,,"445,704,575,163",30625,Generation X
Japan,1988,male,75+ years,1490,2064000,Japan1988,,"3,071,683,013,179",26687,G.I. Generation
New Zealand,2005,female,55-74 years,22,349600,New Zealand2005,0.895,"114,718,721,397",29803,Silent
Bulgaria,1985,female,75+ years,94,222700,Bulgaria1985,0.686,"17,155,421,053",2044,G.I. Generation
Ireland,1998,female,35-54 years,34,479738,Ireland1998,,"90,082,034,316",26115,Boomers
Finland,2011,female,5-14 years,0,286685,Finland2011,0.881,"273,674,236,773",53809,Generation Z
Belize,2004,female,5-14 years,0,34909,Belize2004,,"1,057,845,500",4449,Millenials
Turkmenistan,2008,male,55-74 years,18,163900,Turkmenistan2008,,"19,271,523,179",4368,Silent
Uzbekistan,2010,female,15-24 years,208,3098743,Uzbekistan2010,0.655,"39,332,770,929",1533,Millenials
Antigua and Barbuda,2012,male,5-14 years,0,8475,Antigua and Barbuda2012,0.781,"1,211,411,704",13657,Generation Z
Kyrgyzstan,2014,female,15-24 years,29,548946,Kyrgyzstan2014,0.655,"7,468,096,567",1465,Millenials
Suriname,2012,male,15-24 years,17,49082,Suriname2012,0.711,"4,980,000,000",10227,Millenials
Czech Republic,1993,male,35-54 years,592,1472000,Czech Republic1993,,"40,614,350,197",4186,Boomers
Barbados,2009,female,15-24 years,0,18898,Barbados2009,,"4,434,050,000",17007,Millenials
Netherlands,1997,female,25-34 years,87,1271400,Netherlands1997,,"412,199,006,099",28156,Generation X
Croatia,2016,male,15-24 years,30,242287,Croatia2016,,"51,338,524,831",12905,Millenials
Denmark,2001,female,5-14 years,0,322284,Denmark2001,,"164,791,416,350",32837,Millenials
Ireland,2000,female,55-74 years,10,288075,Ireland2000,0.861,"99,853,528,653",28340,Silent
Sri Lanka,1985,male,55-74 years,443,680000,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
Portugal,2013,female,35-54 years,63,1615851,Portugal2013,0.828,"226,073,492,966",22641,Generation X
Israel,2006,female,5-14 years,1,623474,Israel2006,,"153,966,916,311",24306,Millenials
Suriname,1995,female,75+ years,0,4130,Suriname1995,,"693,970,588",1782,G.I. Generation
Finland,2000,female,75+ years,17,231463,Finland2000,0.857,"125,539,893,127",25716,G.I. Generation
Switzerland,2013,female,55-74 years,109,886881,Switzerland2013,0.928,"688,504,173,431",89634,Boomers
Portugal,2003,female,25-34 years,31,809290,Portugal2003,,"164,964,195,260",16671,Generation X
New Zealand,1989,female,25-34 years,22,276100,New Zealand1989,,"44,170,562,822",14417,Boomers
Paraguay,2008,female,15-24 years,27,619561,Paraguay2008,,"18,504,130,753",3438,Millenials
